proporcion,split,seed,bought_rate
70/15/15,test,156,0.12822207534699273
70/15/15,valid,157,0.13524317121918722
70/15/15,test,157,0.12658227848101267
70/15/15,valid,158,0.12393442622950819
70/15/15,test,158,0.13615023474178403
70/15/15,valid,159,0.12566844919786097
70/15/15,test,159,0.13092852371409486
70/15/15,valid,160,0.12540400775694893
70/15/15,test,160,0.12757201646090535
70/15/15,valid,161,0.13404114134041142
70/15/15,test,161,0.12827225130890052
70/15/15,valid,162,0.1364247311827957
70/15/15,test,162,0.1307277628032345
70/15/15,valid,163,0.12771739130434784
70/15/15,test,163,0.12856196156394964
70/15/15,valid,164,0.12760241773002015
70/15/15,test,164,0.12365930599369085
70/15/15,valid,165,0.12558139534883722
70/15/15,test,165,0.13016528925619836
70/15/15,valid,166,0.13063973063973064
70/15/15,test,166,0.12980132450331125
70/15/15,valid,167,0.13739946380697052
70/15/15,test,167,0.12945838837516513
70/15/15,valid,168,0.1303763440860215
70/15/15,test,168,0.12881806108897742
70/15/15,valid,169,0.13057742782152232
70/15/15,test,169,0.12591119946984758
70/15/15,valid,170,0.13279678068410464
70/15/15,test,170,0.12565104166666666
70/15/15,valid,171,0.12801101169993118
70/15/15,test,171,0.13157894736842105
70/15/15,valid,172,0.12829403606102635
70/15/15,test,172,0.13444816053511705
70/15/15,valid,173,0.13673469387755102
70/15/15,test,173,0.1213527851458886
70/15/15,valid,174,0.13404825737265416
70/15/15,test,174,0.12532808398950132
70/15/15,valid,175,0.13306451612903225
70/15/15,test,175,0.12941961307538358
70/15/15,valid,176,0.1289707750952986
70/15/15,test,176,0.13116970926301555
